,price
9745,1080000.0
19732,220000.0
2266,210000.0
3067,325000.0
3887,425000.0
18806,780000.0
5694,345000.0
11058,350000.0
7206,628000.0
10244,1355000.0
10430,570000.0
14867,174950.0
4039,385000.0
11194,300000.0
10944,291000.0
4866,715000.0
6071,175000.0
15475,525000.0
21355,928990.0
20956,650000.0
3302,289000.0
16639,632000.0
8396,460000.0
15927,415000.0
458,578000.0
2315,665000.0
12540,440000.0
18183,1100000.0
8108,395000.0
21438,435000.0
12000,771150.0
20401,408474.0
547,259950.0
18144,760000.0
10142,335000.0
1872,345000.0
12308,429000.0
12352,850000.0
9300,400000.0
10511,1225000.0
9216,340000.0
1927,316500.0
7267,469500.0
21191,529000.0
18422,217000.0
17195,735000.0
1719,700000.0
6970,736500.0
10478,213000.0
4726,760000.0
19797,282000.0
16487,485000.0
7698,485000.0
2507,650000.0
15602,687500.0
13741,775000.0
4939,359000.0
5350,279000.0
463,359500.0
19541,252500.0
19672,460000.0
14675,390000.0
3948,355000.0
184,835000.0
5629,350000.0
17580,90000.0
8027,480000.0
18988,140000.0
21005,388598.0
100,850830.0
11927,1130000.0
7646,275000.0
9275,220500.0
6374,251100.0
2829,145600.0
850,535800.0
6825,243000.0
1740,785000.0
258,255000.0
13445,465000.0
7338,215000.0
1328,1200000.0
20787,483453.0
15017,615000.0
8987,1099500.0
10598,278000.0
6306,313000.0
15699,418200.0
4027,1350000.0
10064,466500.0
950,435000.0
16651,283000.0
11625,595000.0
6992,221000.0
5327,478000.0
9224,529000.0
2051,272000.0
13101,290000.0
18804,280000.0
2942,275436.0
12467,728000.0
1055,935000.0
2767,549950.0
4965,340000.0
17097,625000.0
3440,355000.0
20768,369000.0
9966,359999.0
19182,279000.0
10125,700000.0
7422,250000.0
21187,308000.0
5654,152000.0
10995,699000.0
17341,1200000.0
10387,134000.0
7302,260000.0
12076,595000.0
5119,310000.0
9798,246600.0
20117,424950.0
19790,1050000.0
10601,715000.0
1570,539950.0
9577,449500.0
2760,615000.0
2338,325000.0
5118,308130.0
9278,780000.0
14339,490000.0
9484,497000.0
15606,483500.0
18463,455000.0
15256,375000.0
12368,336500.0
10450,402500.0
12226,310000.0
17064,550000.0
6556,234000.0
20438,530000.0
11009,350000.0
15728,595000.0
12747,335500.0
9659,853800.0
8289,431750.0
1359,549000.0
6767,319000.0
20389,390000.0
11391,500000.0
7185,225000.0
2024,475000.0
14488,272925.0
2493,195000.0
11030,235000.0
8814,350000.0
5900,595000.0
6362,250000.0
17075,750000.0
16515,885000.0
19951,345000.0
8072,350000.0
18942,187000.0
4017,760750.0
20393,300000.0
10925,734000.0
6788,212000.0
8524,320000.0
13077,385000.0
5398,760000.0
2880,599950.0
9075,765000.0
548,315000.0
13928,750000.0
1159,315000.0
10726,433495.0
4219,329500.0
7720,645000.0
8807,1050000.0
18707,340000.0
7969,500000.0
5531,377000.0
14485,415000.0
630,218000.0
7003,513000.0
1336,647500.0
1029,543115.0
15290,340000.0
14234,175000.0
3330,253000.0
3633,406500.0
20720,287450.0
16536,369000.0
8383,403000.0
17193,335000.0
11600,238000.0
19281,781500.0
6575,432000.0
9065,842000.0
11210,382000.0
2259,390000.0
13087,350000.0
9474,770000.0
1140,625000.0
2719,354450.0
3563,529000.0
18636,683000.0
18204,818000.0
14187,947500.0
15562,730000.0
21225,635000.0
19741,660000.0
12083,355000.0
21599,810000.0
3612,322500.0
18524,335000.0
1871,247500.0
20707,380000.0
20128,675000.0
9089,610000.0
1060,249500.0
10610,500000.0
12307,349950.0
999,289000.0
7251,204000.0
17343,242000.0
14251,196000.0
2659,202500.0
6399,258000.0
15772,855000.0
4599,1206500.0
5264,535000.0
20699,317500.0
385,799000.0
365,465000.0
14384,476000.0
10812,480000.0
9120,145000.0
17308,518000.0
7067,499950.0
13766,340000.0
13435,716500.0
10273,208000.0
13326,220000.0
12323,330000.0
2285,225000.0
17215,297000.0
6437,152000.0
20026,343000.0
20647,539950.0
6893,900000.0
4462,369000.0
20541,312500.0
16827,580000.0
20684,630000.0
7349,500000.0
11026,469000.0
5820,653000.0
7542,1050000.0
14850,389000.0
16271,341000.0
2782,375000.0
7396,299000.0
1280,445000.0
2703,373500.0
4427,325000.0
20522,572000.0
19107,429000.0
2715,326500.0
17213,197000.0
7699,189900.0
5580,353000.0
15481,338000.0
13896,593000.0
1363,933399.0
114,480000.0
8387,1014250.0
15304,535000.0
11539,339000.0
20370,1205000.0
5342,589000.0
8161,275000.0
15369,825000.0
4392,240000.0
17112,515000.0
14928,392500.0
8002,379500.0
12245,600000.0
18148,399000.0
12582,431000.0
20336,356250.0
6483,525000.0
18005,1444000.0
8294,605000.0
388,403950.0
20290,919990.0
12096,1110000.0
15532,750500.0
17687,479000.0
20880,565000.0
14843,305950.0
16992,420000.0
136,220000.0
18836,685000.0
10308,329000.0
6075,445000.0
15588,435000.0
21334,329950.0
20992,414000.0
16795,546000.0
4860,596000.0
13218,265000.0
21349,608000.0
7186,275500.0
9204,1065000.0
9886,241000.0
2131,463000.0
14753,312200.0
18998,270000.0
11485,855000.0
4096,599999.0
20170,749950.0
7892,243000.0
19361,450000.0
13194,245000.0
3369,189000.0
10374,443000.0
434,525000.0
17435,353500.0
18427,1415000.0
5947,420000.0
18451,829950.0
4806,600000.0
17573,325000.0
19640,338900.0
19161,423800.0
8543,445000.0
17920,360000.0
8860,811000.0
15615,260000.0
8716,958000.0
18398,315000.0
8945,230950.0
3293,257200.0
30,580500.0
1869,668000.0
3745,740000.0
16025,1400000.0
20719,440000.0
11375,525000.0
9719,440000.0
19963,801000.0
2247,600000.0
16492,598000.0
14500,462370.0
3239,230000.0
16539,1000000.0
9609,339950.0
8241,1320000.0
667,655000.0
6947,420000.0
15487,422000.0
3313,428000.0
21030,810000.0
2791,280000.0
1132,269000.0
13827,339100.0
17621,450000.0
5145,529888.0
381,950000.0
2145,415000.0
8712,301000.0
3065,950000.0
17216,207500.0
10364,536500.0
1300,588000.0
6584,550000.0
13134,980000.0
4413,1150000.0
11095,450000.0
6236,275000.0
10737,1035000.0
2178,234000.0
20981,857326.0
16967,465000.0
15878,265000.0
19114,675000.0
10329,839990.0
13894,467000.0
21259,440000.0
12253,465000.0
15416,387000.0
7139,605000.0
879,185000.0
16313,280000.0
8573,679000.0
21063,487000.0
9453,695000.0
1753,368000.0
19602,669000.0
18420,465000.0
21434,485000.0
21179,1050000.0
14348,314000.0
651,521000.0
14402,999000.0
4236,710000.0
4734,565000.0
579,180000.0
10844,740000.0
8410,515000.0
20282,216000.0
18388,474000.0
7585,387500.0
1331,515000.0
20023,240000.0
12975,248500.0
4412,864500.0
20489,825000.0
13981,235000.0
6591,267500.0
18036,372500.0
15664,402000.0
15876,251000.0
21222,374000.0
10500,476000.0
9481,780000.0
21508,482000.0
7648,345000.0
6572,538900.0
1829,753000.0
9257,275000.0
20418,709950.0
1075,320000.0
2004,830000.0
2692,285750.0
16218,1490000.0
4933,360000.0
11289,498000.0
9434,665000.0
19043,872000.0
17875,642000.0
19059,218000.0
19544,419000.0
7097,285000.0
7909,634000.0
8773,291000.0
9332,230000.0
8120,450000.0
16789,230000.0
14195,473600.0
2604,525000.0
6532,500000.0
3980,750000.0
7605,518000.0
2327,446500.0
15866,495000.0
9337,182500.0
429,365000.0
290,389999.0
1015,164808.0
17127,500000.0
3259,580000.0
5139,700000.0
6822,270000.0
8481,236000.0
15931,765000.0
15871,172500.0
3930,210000.0
19742,301500.0
10661,178500.0
4883,261000.0
3324,555000.0
4387,480000.0
13444,545000.0
4645,280000.0
19775,701000.0
16560,310000.0
8901,345000.0
12261,255000.0
8562,595000.0
11838,585000.0
20333,309780.0
10304,601000.0
9981,835000.0
14739,270000.0
162,900000.0
5550,227000.0
19809,932990.0
17530,870000.0
13090,452000.0
696,700000.0
13336,585000.0
6745,247000.0
151,560000.0
21022,740000.0
7036,584000.0
3494,790000.0
13509,551000.0
9561,675000.0
4076,350000.0
18320,362500.0
13058,375000.0
12111,315000.0
8557,442500.0
7772,329000.0
10823,370000.0
8743,490000.0
4424,355000.0
7319,970000.0
17029,275000.0
7843,550000.0
2724,390000.0
18952,309000.0
17006,298000.0
15803,375000.0
3883,589950.0
19359,530000.0
12398,547500.0
1301,372500.0
6102,340000.0
21535,332000.0
18012,640000.0
6476,775000.0
14466,280000.0
19467,771000.0
117,205425.0
16976,325000.0
6614,340000.0
9634,290000.0
20890,562500.0
1131,515000.0
11395,275000.0
21569,329000.0
15273,399950.0
9340,501000.0
17384,297000.0
19829,610360.0
11031,207100.0
3738,898888.0
8874,455000.0
1279,403000.0
3774,430000.0
12207,687500.0
16291,750000.0
20503,355000.0
17925,550000.0
15846,319000.0
2539,525000.0
8376,300000.0
12030,240000.0
13951,466950.0
21389,418500.0
846,664000.0
17338,815000.0
1632,520000.0
14540,615000.0
14265,229000.0
3132,640000.0
2843,478000.0
12324,280000.0
9779,505000.0
9590,270000.0
15035,229000.0
5892,483500.0
14038,202950.0
9700,462000.0
9955,396000.0
15610,140000.0
19295,650000.0
15919,299250.0
11460,475000.0
10993,326000.0
18306,440000.0
1960,800000.0
19524,147000.0
19079,443000.0
10830,532000.0
12887,340000.0
11478,419000.0
15783,525000.0
19994,260000.0
19008,571500.0
3947,304000.0
4037,690000.0
11695,1400000.0
5681,725000.0
16132,370000.0
9167,338000.0
16766,615000.0
16338,540000.0
6884,543000.0
3693,659000.0
14807,410000.0
1346,620000.0
14531,770000.0
10909,535000.0
5504,895000.0
13580,520000.0
20234,790000.0
170,284000.0
6473,503500.0
18682,525000.0
6449,900000.0
13138,430000.0
14565,380000.0
16029,455000.0
5069,643000.0
406,450000.0
21060,699188.0
15688,889000.0
17365,826000.0
150,532170.0
3143,589000.0
8696,225000.0
95,905000.0
14127,868500.0
7897,367000.0
6005,300000.0
15200,615000.0
8740,830000.0
13841,355000.0
11430,320000.0
14611,770000.0
1526,425000.0
11979,685650.0
20944,925000.0
21465,875000.0
5003,699000.0
13914,335000.0
9146,345000.0
10650,415000.0
20989,580000.0
20080,635000.0
3839,830000.0
13946,449250.0
6023,700000.0
17231,265000.0
14192,1005000.0
12415,230000.0
5018,702500.0
1968,490000.0
10655,489000.0
9168,353000.0
21424,890000.0
12236,1305000.0
16185,580000.0
5696,660000.0
2007,1015000.0
16822,381000.0
11130,530000.0
5908,489000.0
1664,830000.0
16565,385000.0
20796,272000.0
13453,804100.0
18948,910000.0
18902,385000.0
3400,542126.0
13598,925000.0
13907,925000.0
1509,399000.0
16006,395000.0
943,971000.0
1528,555000.0
12999,330000.0
14925,671000.0
11110,545000.0
14055,510000.0
17058,637500.0
16981,229950.0
14000,470000.0
17487,600000.0
1358,282000.0
15981,230000.0
5269,515100.0
8340,235000.0
15001,525000.0
2751,265000.0
1747,397000.0
13365,190000.0
19178,873000.0
2102,279000.0
18318,579950.0
18914,1400000.0
6524,254000.0
16877,750000.0
7104,470000.0
3951,550000.0
17336,600000.0
4215,291500.0
9581,165000.0
16994,350000.0
20735,275000.0
2778,560000.0
15107,235000.0
12944,345000.0
324,232000.0
1962,605000.0
15700,250000.0
13265,350000.0
16792,582000.0
6058,530000.0
20538,430000.0
2885,402000.0
6543,557500.0
967,582800.0
16272,276693.0
10833,608700.0
12428,430000.0
15214,175000.0
18404,650000.0
5953,705000.0
31,280000.0
8575,498000.0
1669,396000.0
16812,299950.0
8124,374000.0
15759,550000.0
21324,305000.0
10397,180000.0
7566,860000.0
4567,599000.0
13466,1272000.0
20182,536751.0
9423,375000.0
8879,289900.0
18648,423000.0
8046,278000.0
2005,276900.0
7831,540000.0
18765,502501.0
1614,425000.0
2067,632500.0
11227,753000.0
9761,306500.0
9988,716500.0
18564,165000.0
15784,320000.0
12934,327200.0
5082,311000.0
7322,469950.0
16611,767250.0
7997,250000.0
19553,719521.0
2997,896000.0
18330,494000.0
11768,771000.0
7588,163000.0
8090,485500.0
12499,375950.0
15548,470000.0
8767,159075.0
16327,1030000.0
21335,403000.0
1623,550000.0
2251,330000.0
13003,680000.0
714,405000.0
15552,125000.0
17171,250000.0
20126,923990.0
3784,440000.0
7845,1212500.0
4094,660000.0
14137,295000.0
1340,445950.0
9971,235000.0
780,305000.0
14770,110000.0
4452,490000.0
7527,376000.0
7618,257000.0
10741,205000.0
11188,442250.0
15947,655500.0
39,605000.0
3699,632500.0
1485,250000.0
15897,379950.0
15210,336600.0
20259,221000.0
5395,299800.0
2962,310000.0
5166,878000.0
12019,1100000.0
13123,1180000.0
20640,795000.0
7123,519900.0
12712,545000.0
21270,389950.0
1071,360000.0
7120,473000.0
15942,392500.0
8553,224000.0
7790,182000.0
15917,410000.0
15996,384500.0
18647,385000.0
12565,213800.0
2874,499000.0
16133,465000.0
21481,495000.0
15400,861000.0
311,201000.0
9264,273000.0
15328,1305000.0
15530,575000.0
17784,253500.0
21205,590000.0
10076,380000.0
8429,307999.0
16468,815000.0
256,385000.0
9943,689000.0
521,190000.0
13441,536000.0
8253,267500.0
17739,325000.0
19501,229500.0
8321,525000.0
14338,168500.0
20003,399000.0
10656,304500.0
16170,532500.0
19146,352500.0
765,560000.0
9527,675000.0
2401,450000.0
9665,195700.0
757,1310000.0
20918,420000.0
178,269950.0
15146,245000.0
9462,310000.0
19648,299000.0
17044,360500.0
14669,935000.0
16597,376000.0
9814,540000.0
4924,832500.0
10759,555000.0
2445,355000.0
18799,361000.0
10115,555000.0
16323,575950.0
6211,575000.0
21573,785000.0
389,385000.0
16794,386000.0
5418,425000.0
5389,630000.0
16656,324900.0
10008,418000.0
6703,520000.0
16798,529000.0
676,280000.0
13716,180000.0
17168,379950.0
3552,334550.0
11150,399950.0
4516,425000.0
11126,251750.0
6090,792500.0
7481,296500.0
5593,489950.0
1001,270000.0
448,475000.0
18839,295000.0
3876,408000.0
6387,480000.0
16855,337000.0
438,438000.0
11882,440000.0
10157,900000.0
20748,395000.0
18339,372000.0
16431,688000.0
15732,300000.0
4999,547000.0
17218,268000.0
5263,815000.0
17861,405000.0
20986,334900.0
1249,546000.0
11001,280000.0
14703,1080000.0
17631,260000.0
8259,329000.0
19390,620000.0
920,250000.0
21531,346000.0
7388,350000.0
17826,170000.0
16046,780000.0
18396,259000.0
17201,298950.0
5822,207000.0
11320,460000.0
3063,580000.0
374,297000.0
15952,264500.0
5638,392000.0
3154,288400.0
13475,330000.0
3088,325000.0
9117,860000.0
17143,480000.0
12232,344000.0
5107,400000.0
1684,700000.0
14782,343000.0
3505,425000.0
15177,335000.0
6861,110000.0
18092,180500.0
8958,420000.0
1229,457000.0
14610,309000.0
20183,260000.0
14584,410000.0
16491,444950.0
1516,270000.0
14658,320000.0
14045,355000.0
6415,455000.0
86,305000.0
7172,1255000.0
169,371500.0
6807,299500.0
8785,790000.0
20498,499000.0
7981,160000.0
18080,380000.0
21100,712198.0
3455,1290000.0
768,760000.0
1447,290000.0
15237,1031000.0
2305,860000.0
4163,240000.0
19100,399000.0
21219,879950.0
19105,463000.0
20294,298000.0
8608,360000.0
4350,659950.0
18465,799000.0
2496,280000.0
6507,941000.0
2113,989000.0
16062,575000.0
8361,587000.0
5344,482975.0
14931,337000.0
18622,515000.0
17903,715000.0
1096,241000.0
14629,277000.0
2224,275000.0
4229,486700.0
637,245000.0
5203,675000.0
16957,575000.0
7447,545000.0
9878,264500.0
4207,360000.0
9032,225000.0
3636,830000.0
10905,245000.0
15288,250000.0
148,258000.0
12936,360000.0
13259,430000.0
17561,833000.0
10158,460000.0
18184,368000.0
1381,234000.0
15564,237000.0
20036,384000.0
18034,585000.0
19371,224000.0
18641,430000.0
19419,779950.0
17661,243500.0
9333,1335000.0
9471,320000.0
18125,292000.0
1102,285000.0
3690,132500.0
17654,450000.0
7122,750000.0
21575,399950.0
13273,609950.0
1008,540000.0
2505,285000.0
1924,432000.0
20486,680000.0
19138,276000.0
11076,425000.0
15439,340000.0
16892,300000.0
20602,555000.0
14213,403000.0
922,255000.0
16208,287500.0
18266,1355000.0
19304,225000.0
5615,439900.0
18443,934000.0
16997,430000.0
12135,229000.0
6253,411100.0
16762,449400.0
6558,805000.0
18258,260000.0
3178,325000.0
12767,452500.0
528,365000.0
4151,825000.0
7967,687500.0
7851,335000.0
19232,205000.0
11722,465000.0
19997,287000.0
16538,155000.0
10474,290000.0
20686,256703.0
10842,995000.0
4865,268000.0
16278,209950.0
20878,275000.0
16713,455000.0
19898,389950.0
5220,239000.0
19653,429000.0
15869,362000.0
21464,380000.0
7152,394950.0
15045,402000.0
8588,955000.0
7100,680000.0
14011,450000.0
3183,440000.0
2048,545000.0
6441,165000.0
5508,578000.0
7478,260656.0
2798,310000.0
16696,405000.0
9859,450000.0
12492,475000.0
11517,1209000.0
17110,425000.0
1724,350000.0
14105,275000.0
15703,465000.0
4496,327000.0
18195,605000.0
20984,343000.0
10686,410000.0
3370,700000.0
19937,375000.0
2557,649000.0
19652,274000.0
6715,602000.0
13623,820000.0
17548,290000.0
9226,704000.0
10832,945000.0
11577,440000.0
53,585000.0
5393,425000.0
11451,647000.0
18559,382000.0
2637,536000.0
11772,615000.0
16337,475000.0
4325,371000.0
6001,620000.0
15761,315000.0
13184,220000.0
17696,709000.0
18375,952500.0
14924,590000.0
18798,575000.0
18359,332500.0
1434,640000.0
10640,440000.0
4191,300000.0
19098,148000.0
19965,268500.0
11127,725000.0
21046,346000.0
15657,475000.0
12835,229000.0
3687,1440000.0
9244,931088.0
15167,230000.0
17698,225000.0
9443,593000.0
14110,407185.0
2992,320000.0
15351,290000.0
1082,515000.0
7795,240000.0
15179,500000.0
12604,735000.0
10780,750000.0
6505,250800.0
1805,240000.0
6377,800000.0
12968,291375.0
9459,569950.0
21207,760000.0
6366,817000.0
340,485000.0
4088,499500.0
10388,645500.0
697,268000.0
3961,665000.0
13470,1170000.0
14049,292000.0
1628,880000.0
12657,1272500.0
21410,695000.0
8392,652500.0
6702,235000.0
17090,354000.0
11683,500000.0
2351,625000.0
17533,220000.0
4578,640000.0
19715,522500.0
19112,455000.0
5289,303000.0
4352,259950.0
6684,505000.0
5764,465000.0
14290,469950.0
9817,490000.0
15050,628000.0
12243,480000.0
10971,427000.0
1714,799000.0
4828,404000.0
21345,680000.0
19207,319000.0
18021,830000.0
21500,443000.0
591,265000.0
12075,156000.0
11976,440000.0
342,425000.0
7264,245100.0
9550,661000.0
11093,1295000.0
13532,600000.0
4697,558000.0
15775,894400.0
5859,641200.0
6429,330000.0
16701,637000.0
21311,539900.0
10379,730000.0
690,373000.0
16386,400000.0
5222,350000.0
16598,635700.0
21426,1107460.0
8788,270000.0
10018,300000.0
9748,499950.0
798,470000.0
3419,375000.0
16749,425000.0
13781,585000.0
1830,389950.0
15452,254500.0
12930,317000.0
11014,397500.0
19721,690000.0
6856,525000.0
9766,499000.0
10044,585000.0
185,1095000.0
17507,665000.0
3243,325000.0
4161,522500.0
2349,588000.0
12191,438950.0
13221,570000.0
7370,375000.0
2904,769000.0
13250,1075000.0
10136,505000.0
8274,82000.0
18131,475000.0
1995,307000.0
12894,285950.0
10206,466000.0
6818,580000.0
10883,255000.0
13642,570000.0
9307,335000.0
13254,589500.0
12605,730000.0
17277,220000.0
545,910000.0
17084,431000.0
478,315000.0
20447,356999.0
21346,825750.0
7484,330000.0
20017,290000.0
6286,320000.0
3854,756000.0
17726,455000.0
7342,395000.0
11475,543000.0
8106,370000.0
